Id	Description	Qty	Unit	Designators	MPN
1	Connector, 12 pins	1		X1	
2	Connector, 12 pins	1		XR8	MS75021-1
3	Connector, 2 pins	5		XF6, XF7, XF8, XR6, XR7	
4	Connector, 5 pins	4		XR2, XR3, XR4, XR5	
5	Connector, 6 pins	3		XF3, XF5, XR1	
6	Connector, 7 pins	2		XF2, XF4	
7	Connector, 8 pins	1		XF1	
8	Wire, 14 AWG	264	ft	W1, W2, WF1, WF2, WF3, WF4, WF5, WF6, WF7, WR1, WR2, WR3, WR4, WR5, WR6, WR7	
9	crimp, Female Packard	9		XF4, XF5, XF6, XF7, XF8, XR4, XR5, XR6, XR7	
10	crimp, Male Packard	24		XF4, XF5, XF6, XF7, XF8, XR4, XR5, XR6, XR7	
11	crimp, splice	27		X1, XF1, XF2, XF3, XR1, XR2, XR3	
